# ----------------------------------------
# www.visit-trzic.com - GA4
# Najbolj obiskane strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Page title,Page path and screen class,Views,Views per active user,Active users,Event count,Key events,Average engagement time per session
2026,05,K35 - Ljubelj Pass,/en/paths/cycling-routes/k35-ljubelj-pass,1,1,1,3,0,0
2026,05,K35 - Prelaz Ljubelj,/sl/poti/kolesarske-poti/k35-prelaz-ljubelj,28,1.75,16,63,0,32.6875
2026,05,K36 - Zelenica - Border Patrol Trail,/en/paths/cycling-routes/k36-zelenica-border-patrol-trail,3,1.5,2,7,0,9.333333333333334
2026,05,K36 - Zelenica - graničarska pot,/sl/poti/kolesarske-poti/k36-zelenica-granicarska-pot,8,2,4,15,0,4.8
2026,05,K36 - Zelenica – sentiero di confine,/it/sentieri/sentieri-per-ciclisti/k36-zelenica-sentiero-di-confine,1,1,1,1,0,0
2026,05,"K37 - Around Begunjščica: Preval, Zelenica",/en/paths/cycling-routes/k37-around-begunjscica-preval-zelenica,2,2,1,5,0,2
2026,05,"K37 - Okrog Begunjščice: Preval, Zelenica",/sl/poti/kolesarske-poti/k37-okrog-begunjscice-preval-zelenica,9,1.8,5,20,0,50
2026,05,"K37 – Intorno al Begunjščica: Preval, Zelenica",/it/sentieri/sentieri-per-ciclisti/k37-intorno-al-begunjscica-preval-zelenica,1,1,1,1,0,0
2026,05,K41 - Bistriška planina - Ravne (Rock'n'roll),/sl/poti/kolesarske-poti/k41-bistriska-planina-ravne-rocknroll,7,1.75,4,15,0,38.25
2026,05,K42 - Rožnovenska pot po kolesarsko,/sl/poti/kolesarske-poti/k42-roznovenska-pot-po-kolesarsko,6,1.5,4,12,0,0
2026,05,K43 - Dobrča,/en/paths/cycling-routes/k43-dobrca,2,2,1,4,0,0
2026,05,K43 - Dobrča,/sl/poti/kolesarske-poti/k43-dobrca,20,1.6666666666666667,12,39,0,21.76923076923077
2026,05,K51 - Udin Woods - by bike along the edge and then boldly across,/en/paths/cycling-routes/k51-udin-woods-by-bike-along-the-edge-and-then-boldly-across,2,2,1,4,0,0
2026,05,K51 - Udin boršt - s kolesom ob vznožju in pogumno čezenj,/sl/poti/kolesarske-poti/k51-udin-borst-s-kolesom-ob-vznozju-in-pogumno-cezenj,5,1.25,4,12,0,12
2026,05,K52 - Lahkotno kolesarjenje po Poti treh zvonov,/sl/poti/kolesarske-poti/k52-lahkotno-kolesarjenje-po-poti-treh-zvonov,2,2,1,2,0,0
2026,05,K53 - Na Udin boršt do Krive jelke,/sl/poti/kolesarske-poti/k53-na-udin-borst-do-krive-jelke,5,1,5,7,0,16.8
2026,05,K53 - Through Udin Woods to Kriva Jelka,/en/paths/cycling-routes/k53-through-udin-woods-to-kriva-jelka,1,1,1,1,0,0
2026,05,K54 - Das Dorf Gozd,/de/wege/radtouren/k54-das-dorf-gozd,1,1,1,2,0,24
2026,05,K54 - Gozd,/sl/poti/kolesarske-poti/k54-gozd,2,1,2,4,0,51.5
2026,05,K55 - Gozd - Udin boršt,/sl/poti/kolesarske-poti/k55-gozd-udin-borst,4,1.3333333333333333,3,9,0,13
2026,05,KKP Tržič 01,/sl/poti/kolesarske-poti/kkp-trzic-01,6,1,6,9,0,86.5
2026,05,KKP Tržič 02,/sl/poti/kolesarske-poti/kkp-trzic-02,7,1.1666666666666667,6,12,0,23.333333333333332
2026,05,KKP Tržič 03,/sl/poti/kolesarske-poti/kkp-trzic-03,4,1.3333333333333333,3,8,0,16.333333333333332
2026,05,KKP Tržič 04,/sl/poti/kolesarske-poti/kkp-trzic-04,2,1,2,3,0,29
2026,05,KKP Tržič 05,/sl/poti/kolesarske-poti/kkp-trzic-05,3,3,1,7,0,25
2026,05,Kamnek,/it/sentieri/sentieri-nella-natura/kamnek,1,1,1,2,0,11
2026,05,Kamnek,/sl/poti/poti-po-naravi/kamnek,4,1.3333333333333333,3,8,0,36.333333333333336
2026,05,Karami Mountainhouse,/sl/prenocisca/karami-mountainhouse,1,1,1,2,0,14
2026,05,Kofce,/en/paths/mountain-hikes/kofce,2,2,1,5,0,10
2026,05,Kofce,/sl/poti/pejmo-v-planine/kofce,11,1.8333333333333333,6,22,0,12.571428571428571
2026,05,Koledar vseh dogodkov v občini,/sl/prireditve/koledar-vseh-dogodkov-v-obcini,8,1.3333333333333333,6,14,0,7.714285714285714
2026,05,Kolesarjenje po planinah pod Košuto,/sl/aktivnosti/kolesarjenje-po-planinah-pod-kosuto,2,1,2,3,0,0
2026,05,Kontakt,/sl/info/kontakt,24,1.7142857142857142,14,56,0,44.86363636363637
2026,05,Korak po tržiško,/sl/dozivetja/seznam-dozivetij/korak-po-trzisko,4,1.3333333333333333,3,6,0,9
2026,05,Korošica,/en/paths/mountain-hikes/korosica,2,2,1,4,0,0
2026,05,Korošica,/sl/poti/pejmo-v-planine/korosica,4,1,4,8,0,10.25
2026,05,Koča na Kobilici - Dobrča,/sl/prenocisca/koca-na-kobilici-dobrca,3,1,3,5,0,46
2026,05,Koča na Kriški gori,/sl/prenocisca/koca-na-kriski-gori,6,1.5,4,16,0,0
2026,05,Koča na Ljubelju,/sl/kulinarika/koca-na-ljubelju,3,1.5,2,7,0,0
2026,05,Koča na planini Korošica,/sl/kulinarika/koca-na-planini-korosica,20,1.8181818181818181,11,47,0,9.642857142857142
2026,05,Kriška Gora Hut,/en/accommodation/kriska-gora-hut,1,0,0,2,0,0
2026,05,Kriška Gora Paragliding Club,/en/activities/kriska-gora-paragliding-club,1,1,1,3,0,124
2026,05,Kriška Gora Trail,/en/events/kriska-gora-trail,12,2,6,27,0,0.7142857142857143
2026,05,Kriška Gora ösvény,/en/events/kriska-gora-trail,0,0,1,1,0,12
2026,05,Kriška gora,/en/paths/mountain-hikes/kriska-gora,3,1.5,2,8,0,2
2026,05,Kriška gora,/sl/poti/pejmo-v-planine/kriska-gora,24,1.8461538461538463,13,55,0,11
2026,05,Kriška gora Trail,/sl/prireditve/kriska-gora-trail,13,1.8571428571428572,7,29,0,8.714285714285714
2026,05,Krucefix destilarna,/sl/aktivnosti/krucefix-destilarna,3,1.5,2,7,0,0.5
2026,05,Kulturelle Sehenswürdigkeiten,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten,3,1,3,6,0,35.333333333333336
2026,05,Kulturne znamenitosti,/sl/znamenitosti/kulturne-znamenitosti,11,1.375,8,21,0,18.125
2026,05,Kurnikova hiša,/sl/znamenitosti/kulturne-znamenitosti/kurnikova-hisa,2,2,1,5,0,25.5
2026,05,La cascata dello Stegovnik,/it/attrazioni/attrazioni-naturali/la-cascata-dello-stegovnik,2,2,1,2,0,0
2026,05,La gola di Dovžan,/it/attrazioni/attrazioni-naturali/la-gola-di-dovzan,15,3.75,4,28,0,6.166666666666667
2026,05,La zona umida Blata,/it/attrazioni/attrazioni-naturali/la-zona-umida-blata,1,1,1,2,0,9
2026,05,Laboratorio e galleria Kosmač,/it/attrazioni/attrazioni-culturali/laboratorio-e-galleria-kosmac,1,1,1,1,0,0
2026,05,Lasst uns auf dem Fahrrad singen,/sl/poti/kolesarske-poti,0,0,1,23,0,279
2026,05,Lipa v Žiganji vasi,/sl/znamenitosti/naravne-znamenitosti/lipa-v-ziganji-vasi,1,1,1,1,0,0
2026,05,Liza Apartment,/en/accommodation/liza-apartment,2,2,1,5,0,1
2026,05,Ljubelj (Loibl) Pass,/en/attractions/cultural-attractions/ljubelj-loibl-pass,10,2,5,21,0,0
2026,05,Ljubelj Mountain Hut,/en/cuisine/ljubelj-mountain-hut,1,1,1,3,0,0
2026,05,Ljubelj labour camp,/en/attractions/cultural-attractions/ljubelj-labour-camp,12,2,6,29,0,24.333333333333332
2026,05,Malga sul Dolga njiva,/it/gastronomia/malga-sul-dolga-njiva,2,2,1,5,0,32
