# ----------------------------------------
# www.visit-trzic.com - GA4
# Vstopne strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Landing page,Sessions,Engaged sessions,Active users,New users,Engagement rate,Key events,Average engagement time per session
2026,05,/sl/prireditve/seznam-prireditev,12,9,10,10,0.75,0,16.333333333333332
2026,06,/de/kulinarik/restaurant-firbc-okn,12,9,10,10,0.75,0,6.416666666666667
2026,06,/en/activities/free-tourist-shuttle,12,9,10,7,0.75,0,53
2026,06,/sl/poti/kolesarske-poti/k14-planina-javornik-cez-medvodje,12,7,8,7,0.5833333333333334,0,5.916666666666667
2026,06,/sl/znamenitosti/kulturne-znamenitosti/slovenski-smucarski-muzej,12,8,10,9,0.6666666666666666,0,17.666666666666668
2026,07,/sl/poti/mestne-poti/pot-marsala-radetzkega,12,9,9,8,0.75,0,18.666666666666668
2026,07,/sl/poti/pejmo-v-planine/zelenica,12,9,12,12,0.75,0,2.5833333333333335
2026,07,/sl/prenocisca/planinska-koca-na-dobrci,12,9,10,9,0.75,0,16.083333333333332
2026,06,/de/wege/wanderwege/zelenica-das-paradies-unter-dem-nordhang-der-begunscica,11,7,6,6,0.6363636363636364,0,5.2727272727272725
2026,06,/it,11,8,11,10,0.7272727272727273,0,39.54545454545455
2026,06,/sl/aktivnosti/soul-adventures-organizirani-izleti-z-e-gorskimi-kolesi-na-18-lokacij-v-karavankah,11,9,10,9,0.8181818181818182,0,154.1818181818182
2026,07,/de/aktivitaeten/der-strand-vom-oberkrain-gorenjska-plaza,11,11,10,10,1,0,18
2026,07,/de/wege/wanderwege/zelenica-das-paradies-unter-dem-nordhang-der-begunscica,11,9,11,11,0.8181818181818182,0,2.4545454545454546
2026,07,/en/cuisine/pod-gradom-pizzeria,11,9,8,7,0.8181818181818182,0,4.2727272727272725
2026,07,/sl/poti/kolesarske-poti/k15-na-konjscico-cez-planino-vetrh,11,8,10,6,0.7272727272727273,0,67.54545454545455
2026,05,/sl/kulinarika/izletniska-kmetija-pr-hariz,10,9,9,7,0.9,0,16.7
2026,05,/sl/poti/poti-po-naravi/razgledna-ucna-pot-dovzanova-soteska,10,6,7,5,0.6,0,23.1
2026,06,/de/aktivitaeten/der-strand-vom-oberkrain-gorenjska-plaza,10,6,6,4,0.6,0,18.3
2026,06,/de/kulinarik/das-lokal-moji-struklji-deteljica,10,8,8,8,0.8,0,7.8
2026,06,/de/unterkuenfte/glamping-okologischer-bauernhof-slibar,10,4,4,4,0.4,0,24.1
2026,06,/sl/aktivnosti/kolesarjenje-po-planinah-pod-kosuto,10,8,6,4,0.8,0,21.8
2026,06,/sl/poti/kolesarske-poti/k15-na-konjscico-cez-planino-vetrh,10,5,6,3,0.5,0,12.6
2026,06,/sl/poti/kolesarske-poti/k22-planina-javornik,10,8,8,7,0.8,0,50.5
2026,06,/sl/poti/kolesarske-poti/k37-okrog-begunjscice-preval-zelenica,10,9,8,6,0.9,0,50.9
2026,06,/sl/znamenitosti/naravne-znamenitosti/lipa-v-ziganji-vasi,10,5,7,7,0.5,0,106
2026,07,/de/sehenswuerdigkeiten/naturliche-sehenswurdigkeiten/das-bergwerk-sentanski-rudnik,10,7,8,7,0.7,0,51.9
2026,07,/en/attractions/natural-attractions/st-anne-mine,10,8,9,8,0.8,0,33.4
2026,07,/en/attractions/natural-attractions/stegovnik-waterfall,10,4,6,6,0.4,0,0.1
2026,07,/en/blog/trzic-a-trip-around-town,10,6,7,5,0.6,0,140.5
2026,07,/en/paths/cycling-routes,10,8,9,6,0.8,0,97.6
2026,07,/sl/aktivnosti/balkan-campers-najem-zabavnih-vw-kamperjev,10,9,10,9,0.9,0,19.9
2026,07,/sl/dozivetja/seznam-dozivetij/cajanka-z-radetzkim,10,5,10,9,0.5,0,12.6
